Label	Weight	Text
l_general	1.514793	save the date may 17 pictures party
l_general	1.514793	shut up quiet
l_general	1.514793	finished
l_general	1.514793	go back to previous
l_general	1.514793	i want more
l_general	1.514793	health benefits
l_general	1.514793	attorney information will be helpful
l_general	1.514793	i like the first one
l_general	1.514793	opt for the second choice
l_general	1.514793	calendar i ' ll be at the garage from 8 till 3 this saturday
l_general	1.514793	i want the right one
l_general	1.514793	i need to go to the next one
l_general	1.514793	fitness
l_general	1.514793	opt for the last one
l_general	1.514793	just be quiet
l_general	1.514793	send lighter fluid to onenote
l_general	1.514793	b forty nine bus map brooklyn
l_general	1.514793	i need some assist
l_general	1.514793	i want to choose the last choice
l_general	1.514793	shut up
l_general	1.514793	just cancel it
l_general	1.514793	add imax theater to my upcoming events
l_general	1.514793	display the fastest way to san antonio from austin
l_general	1.514793	i am done
l_general	1.514793	" i want to create a note of title shopping list " " " " "
l_general	1.514793	opt for the lower choice
l_general	1.514793	be quiet now
l_general	1.514793	bring the previous one
l_general	1.514793	finish
l_general	1.514793	just cancel
l_general	1.514793	i need support
l_general	1.514793	rewards
l_general	1.514793	can you help me
l_general	1.514793	put applebee ' s on favorite list
l_general	1.514793	neither one
l_general	1.514793	when is paul available
l_general	1.514793	no no go back to
l_general	1.514793	i want to choose the fourth
l_general	1.514793	cancel that
l_general	1.514793	immigration
l_general	1.514793	create my favorites note
l_general	1.514793	attorney
l_general	1.514793	is there any help
l_general	1.514793	don't do that
l_general	1.514793	any one is ok
l_general	1.514793	tacoma please
l_general	1.514793	do nothing
l_general	1.514793	dunmore pa sonic sounds friday morning please
l_general	1.514793	day off
l_general	1.514793	it's done
l_general	1.514793	they look bad, can you give me other choices
l_general	1.514793	choose top right
l_general	1.514793	what's after that
l_general	1.514793	choose the first choice
l_general	1.514793	meeting my manager
l_general	1.514793	bend oregon exotic restaurants please
l_general	1.514793	select the bottom choice
l_general	1.514793	i want to choose third
l_general	1.514793	neither of those
l_general	1.514793	neither thank you
l_general	1.514793	no no no no stop talking
l_general	1.514793	repeat please
l_general	1.514793	please begin again
l_general	1.514793	next
l_general	1.514793	clear and start again
l_general	1.514793	recommend benefits
l_general	1.514793	i am finished
l_general	1.514793	schedule appointment for tomorrow please
l_general	1.514793	select the third one
l_general	1.514793	select lower one
l_general	1.514793	choose no.2
l_general	1.514793	open help
l_general	1.514793	never mind cancel that
l_general	1.514793	sorry
l_general	1.514793	i want to choose the left one
l_general	1.514793	clear last note
l_general	1.514793	go back on
l_general	1.514793	submit
l_general	1.514793	clear my save notes
l_general	1.514793	could you start it over
l_general	1.514793	i like second one
l_general	1.514793	never mind stop
l_general	1.514793	opt for first one
l_general	1.514793	benefits
l_general	1.514793	talk to a human
l_general	1.514793	opt for the left one
l_general	1.514793	no shut up
l_general	1.514793	what was that again
l_general	1.514793	what about the third one
l_general	1.514793	give me some help
l_general	1.514793	i want the second one
l_general	1.514793	canceled
l_general	1.514793	attorney information
l_general	1.514793	repeat
l_general	1.514793	exit stop
l_general	1.514793	leave
l_general	1.514793	i want the fourth choice
l_general	1.514793	how far is gainesville from here
l_general	1.514793	i like the third
l_general	1.514793	calendar for november 1948
l_general	1.514793	go to the previous one
l_general	1.514793	neither
l_general	1.514793	last step
l_general	1.514793	please clear the untitled notes for me
l_general	1.514793	where i am driving right now
l_general	1.514793	back to
l_general	1.514793	nothing never mind
l_general	1.514793	show the previous one
l_general	1.514793	no no cancel
l_general	1.514793	okay i got it
l_general	1.514793	sick oof
l_general	1.514793	stop talking
l_general	1.514793	i like left one
l_general	1.514793	what before that
l_general	1.514793	quiet now
l_general	1.514793	quit
l_general	1.514793	shut up be quiet
l_general	1.514793	never mind cancel
l_general	1.514793	i want third one
l_general	1.514793	what is the previous
l_general	1.514793	nowhere just be quiet
l_general	1.514793	human service
l_general	1.514793	be quiet
l_general	1.514793	i like second
l_general	1.514793	travel
l_general	1.514793	add an event to visit 209 nashville gym
l_general	1.514793	tell me the event details
l_general	1.514793	please return
l_general	1.514793	how to do it
l_general	1.514793	save the current note
l_general	1.514793	quiet
l_general	1.514793	contact the customer service
l_general	1.514793	i want to choose the right
l_general	1.514793	what about next one
l_general	1.514793	show the next two options
l_general	1.514793	no be quiet
l_general	1.514793	visa
l_general	1.514793	start it over
l_general	1.514793	i like the upper right
l_general	1.514793	back to last step
l_general	1.514793	let me clear all the notes created on last monday
l_general	1.514793	show me the route to mother ' s home
l_general	1.514793	select no.5
l_general	1.514793	i want neither of them
l_general	1.514793	say that again
l_general	1.514793	check - in room three forty seven
l_general	1.514793	go back to
l_general	1.514793	none none of them
l_general	1.514793	is there any person i can talk to
